drug_name,brand_name,generic_name,interacts_with_list,description,source
FLUOXETINE HYDROCHLORIDE,FLUOXETINE,FLUOXETINE HYDROCHLORIDE,"Interfere, Elevation, Pimozide, Prolong, Warnings, Fluoxetine, Potential, Monoamine Oxidase, Concomitant, Thus, Coadministration, Class, Dosage, Anticonvulsants, There, Therapy, Hemostasis, Antipsychotics, Drugs Metabolized, Torsades","7 DRUG INTERACTIONS As with all drugs, the potential for interaction by a variety of mechanisms (e.g., pharmacodynamic, pharmacokinetic drug inhibition or enhancement, etc.) is a possibility. Monoamine Oxidase Inhibitors (MAOIs): ( 2.9 , 2.10 , 4.1 , 5.2 ) Drugs Metabolized by CYP2D6: Fluoxetine is a potent inhibitor of CYP2D6 enzyme pathway ( 7.7 ) Tricyclic Antidepressants (TCAs): Monitor TCA levels during coadministration with fluoxetine or when fluoxetine has been recently discontinued ( 5.2 , 7.7 ) CNS Acting Drugs: Caution should be used when taken in combination with other centrally acting drugs ( 7.2 ) Benzodiazepines: Diazepam – increased t½, alprazolam - further psychomotor performance decrement due to increased levels ( 7.7 ) Antipsychotics: Potential for elevation of haloperidol and clozapine levels ( 7.7 ) Anticonvulsants: Potential for elevated phenytoin and carbamazepine levels and clinical anticonvulsant toxicity ( 7.7 ) Serotonergic Drugs: ( 2.9 , 2.10 , 4.1 , 5.2 ) Dr",FDA_openFDA
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,"Furthermore, Type, Asian, Concomitant, Caucasians, Guanethidine, Drugs Metabolized, Nevertheless, Poor, Monoamine, Cimetidine, Drug Interactions, Increases, Transient, Discontinuation, Paralytic, Caution, African, While, Clinically","Drug Interactions Topiramate Some patients may experience a large increase in amitriptyline concentration in the presence of topiramate and any adjustments in amitriptyline dose should be made according to the patient's clinical response and not on the basis of plasma levels. Drugs Metabolized by P450 2D6 The biochemical activity of the drug metabolizing isozyme cytochrome P450 2D6 (debrisoquin hydroxylase) is reduced in a subset of the caucasian population (about 7 to 10% of Caucasians are so called ""poor metabolizers""); reliable estimates of the prevalence of reduced P450 2D6 isozyme activity among Asian, African and other populations are not yet available. Poor metabolizers have higher than expected plasma concentrations of tricyclic antidepressants (TCAs) when given usual doses. Depending on the fraction of drug metabolized by P450 2D6, the increase in plasma concentration may be small, or quite large (8 fold increase in plasma AUC of the TCA). In addition, certain drugs inhibit th",FDA_openFDA
DIAZEPAM,DIAZEPAM,DIAZEPAM,"Compounds Which, Drug Interactions, Alcohol Concomitant, Hepatic Enzymes, There, Benzodiazepines, Data, Phenytoin There, Centrally Acting, Limit, Inhibit Certain, Opioids The, However, Agents If, Antacids Diazepam","Drug Interactions Opioids The concomitant use of benzodiazepines and opioids increases the risk of respiratory depression because of actions at different receptor sites in the CNS that control respiration. Benzodiazepines interact at GABA A sites and opioids interact primarily at mu receptors. When benzodiazepines and opioids are combined, the potential for benzodiazepines to significantly worsen opioid-related respiratory depression exists. Limit dosage and duration of concomitant use of benzodiazepines and opioids, and monitor patients closely for respiratory depression and sedation. Centrally Acting Agents If diazepam tablets are to be combined with other centrally acting agents, careful consideration should be given to the pharmacology of the agents employed particularly with compounds that may potentiate or be potentiated by the action of diazepam tablets, such as phenothiazines, antipsychotics, anxiolytics/sedatives, hypnotics, anticonvulsants, narcotic analgesics, anesthetics, s",FDA_openFDA
ALPRAZOLAM,ALPRAZOLAM,ALPRAZOLAM,"Warnings, Depressants Clinical, Concomitant, Examples Psychotropic, Inducers Clinical, Alprazolam Opioids, Avoid, Produces, Dosage, Increase, Drugs Having, Depressants, Following, Digoxin Clinical, Short, Weak Inhibitors, Interactions Although, Reduce, Clinical Pharmacology, Table","7 DRUG INTERACTIONS Use with Opioids: Increase the risk of respiratory depression. ( 7.1 ) Use with Other CNS Depressants: Produces additive CNS depressant effects. ( 7.1 ) Use with Digoxin: Increase the risk of digoxin toxicity. ( 7.1 ) Use with CYP3A Inhibitors (except ritonavir): Increase the risk of adverse reactions of alprazolam. ( 4 , 5.5 , 7.1 ) Use with CYP3A Inducers: Increase the risk of reduced efficacy of alprazolam. ( 7.1 ) 7.1 Drugs Having Clinically Important Interactions with Alprazolam Table 4 includes clinically significant drug interactions with alprazolam [see Clinical Pharmacology (12.3) ] . Table 4: Clinically Significant Drug Interactions with Alprazolam Opioids Clinical implication The concomitant use of benzodiazepines and opioids increases the risk of respiratory depression because of actions at different receptor sites in the CNS that control respiration. Benzodiazepines interact at gamma-aminobutyric acid(GABA A ) sites and opioids interact primarily at mu ",FDA_openFDA
ACETAMINOPHEN AND CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,"Nervous System, Inhibitors The, Acetaminophen, Monoamine Oxidase, Reserve, Advise, Examples, Antagonist, Muscle Relaxants, Partial Agonist, Patients, Other Central, Caregivers, Anticholinergic Drugs, Limit, Serotonergic Drugs, Opioid Analgesics, After, Drug Interactions, Monitor","Drug Interactions Anticoagulants Chronic oral acetaminophen use at a dose of 4000 mg/day has been shown to cause an increase in international normalized ratio (INR) in some patients who have been stabilized on sodium warfarin as an anticoagulant. As no studies have been performed evaluating the short term use of acetaminophen and codeine phosphate tablets in patients on oral anticoagulants, more frequent assessment of INR may be appropriate in such circumstances. CYP2D6 Inhibitors Codeine is metabolized by CYP2D6 to form morphine. The concomitant use of acetaminophen and codeine phosphate tablets and CYP2D6 inhibitors (e.g., paroxetine, fluoxetine, bupropion, quinidine) can increase the plasma concentration of codeine, but can decrease the plasma concentration of active metabolite morphine, which could result in reduced analgesic efficacy or symptoms of opioid withdrawal, particularly when an inhibitor is added after a stable dose of acetaminophen and codeine phosphate tablets is achie",FDA_openFDA
TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,"Nervous System, Intervention, Warnings, Monoamine Oxidase, Inform, Tramadol Hydrochloride, Depressants Clinical, Inducers Clinical, Reserve, Post, Dosage, Avoid, Examples, Antagonist, Rifampin, Muscle Relaxants, Digoxin Clinical, Since, Partial Agonist, Patients","7 DRUG INTERACTIONS Table 2 includes clinically significant drug interactions with tramadol hydrochloride extended-release tablets. Table 2: Clinically Significant Drug Interactions with Tramadol Hydrochloride Extended-Release Tablets Inhibitors of CYP2D6 Clinical Impact: The concomitant use of tramadol hydrochloride extended-release tablets and CYP2D6 inhibitors may result in an increase in the plasma concentration of tramadol and a decrease in the plasma concentration of M1, particularly when an inhibitor is added after a stable dose of tramadol hydrochloride extended-release tablets is achieved. Since M1 is a more potent µ-opioid agonist, decreased M1 exposure could result in decreased therapeutic effects, and may result in signs and symptoms of opioid withdrawal in patients who had developed physical dependence to tramadol. Increased tramadol exposure can result in increased or prolonged therapeutic effects and increased risk for serious adverse events including seizures and seroto",FDA_openFDA
MORPHINE SULFATE,MORPHINE SULFATE,MORPHINE SULFATE,"Nervous System, Warnings, Intervention, Monoamine Oxidase, Depressants Clinical, Reserve, Inform, Glycoprotein, Quinidine, Concomitant, Dosage, Avoid, Examples, Antagonist, Muscle Relaxants, Partial Agonist, Other Central, Cyclobenzaprine, Table, Precautions","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with morphine sulfate tablets. Table 1: Clinically Significant Drug Interactions with Morphine sulfate tablets Benzodiazepines and Other Central Nervous System (CNS) Depressants Clinical Impact: Due to additive pharmacologic effect, the concomitant use of benzodiazepines or other CNS depressants, including alcohol, can increase the risk of hypotension, respiratory depression, profound sedation, coma, and death [see Warnings and Precautions ( 5.3 )]. Intervention: Reserve concomitant prescribing of these drugs for use in patients for whom alternative treatment options are inadequate. Limit dosages and durations to the minimum required. Inform patients and caregivers of this potential interaction and educate them on the signs and symptoms of respiratory depression (including sedation). If concomitant use is warranted, consider prescribing naloxone for the emergency treatment of opioid overdose [see Dosage and A",FDA_openFDA
GABAPENTIN,GABAPENTIN,GABAPENTIN,"Naproxen Coadministration, Warnings, Antacid, In Vitro, Gabapentin, Valproic Acid, Thus, Hydrocodone, Probenecid Probenecid, Maalox, Likewise, Morphine When, Studies In, Based, Ames, Drugs Gabapentin, Clinical Pharmacology, Precautions, In Vivo, Interactions Because","7 DRUG INTERACTIONS Concentrations increased by morphine; may need dose adjustment (5.4, 7.1 ) 7.1 Opioids Respiratory depression and sedation, sometimes resulting in death, have been reported following coadministration of gabapentin with opioids (e.g., morphine, hydrocodone, oxycodone, buprenorphine) [ see Warnings and Precautions (5.7) ]. Hydrocodone Coadministration of gabapentin with hydrocodone decreases hydrocodone exposure [ see Clinical Pharmacology (12.3) ]. The potential for alteration in hydrocodone exposure and effect should be considered when gabapentin is started or discontinued in a patient taking hydrocodone. Morphine When gabapentin is administered with morphine, patients should be observed for signs of CNS depression, such as somnolence, sedation and respiratory depression [see Clinical Pharmacology (12.3) ]. 7.2 Other Antiepileptic Drugs Gabapentin is not appreciably metabolized nor does it interfere with the metabolism of commonly coadministered antiepileptic drugs ",FDA_openFDA
PREGABALIN,PREGABALIN,PREGABALIN,"Since, Pharmacodynamics Multiple, Important, Although, Specifically, Clinical Pharmacology","7 DRUG INTERACTIONS Since pregabalin is predominantly excreted unchanged in the urine, undergoes negligible metabolism in humans (less than 2% of a dose recovered in urine as metabolites), and does not bind to plasma proteins, its pharmacokinetics are unlikely to be affected by other agents through metabolic interactions or protein binding displacement. In vitro and in vivo studies showed that pregabalin is unlikely to be involved in significant pharmacokinetic drug interactions. Specifically, there are no pharmacokinetic interactions between pregabalin and the following antiepileptic drugs: carbamazepine, valproic acid, lamotrigine, phenytoin, phenobarbital, and topiramate. Important pharmacokinetic interactions would also not be expected to occur between pregabalin and commonly used antiepileptic drugs [see Clinical Pharmacology (12) ] . Pharmacodynamics Multiple oral doses of pregabalin were co-administered with oxycodone, lorazepam, or ethanol. Although no pharmacokinetic interacti",FDA_openFDA
ALLOPURINOL,ALLOPURINOL,ALLOPURINOL,"Allopurinol Tablets, Intervention Discontinue, Warnings, Chlorpropamide Clinical, Concomitant, Avoid, Dosage, Important Drug, Drugs Known, Azathioprine, Capecitabine, Mercaptopurine, Have Clinically, Intervention Increase, Adjust, Dicumarol Clinical, Hypersensitivity Concomitant, Reduce, Affect, Intervention In","7 DRUG INTERACTIONS The following drugs may increase the risk of serious skin reactions: bendamustine, thiazide diuretics, ampicillin and amoxicillin. ( 7.1 ) Capecitabine: Avoid concomitant use. ( 7.2 ) Mercaptopurine or Azathioprine: Reduce mercaptopurine or azathioprine dose as recommended in the respective prescribing information. ( 7.2 ) Pegloticase: Discontinue and refrain from initiating treatment with allopurinol tablets. ( 7.2 ) See FPI for complete list of significant drug interactions. ( 7.2 ) 7.1 Drugs Known to Affect the Occurrence of Skin Rash and Hypersensitivity Concomitant use of the following drugs may increase the risk of skin rash, which may be severe: bendamustine, thiazide diuretics, ampicillin and amoxicillin. Renal impairment may further increase risk with concomitant use of thiazide diuretics [see Warnings and Precautions ( 5.1 , 5.2 ) and Clinical Pharmacology ( 12.2 )] . Monitor kidney function and reduce the dose of allopurinol tablets in patients with conco",FDA_openFDA
COLCHICINE,COLCHICINE,COLCHICINE,"Pharmacokinetic Parameters, Azithromycin, Error, In Vitro, Ritonavir, Coadministration, Fatal, Food Noted, Coadministered Drug, Signs, Colchicine Tablets, Drug Class, Baseline, Conducted, Ortho, Physicians, Weigh, Other Potentially, Dose, Clarithromycin","7 DRUG INTERACTIONS Colchicine is a substrate of the efflux transporter P-glycoprotein (P-gp). Of the cytochrome P450 enzymes tested, CYP3A4 was mainly involved in the metabolism of colchicine. If colchicine tablets are administered with drugs that inhibit P-gp, most of which also inhibit CYP3A4, increased concentrations of colchicine are likely. Fatal drug interactions have been reported. Physicians should ensure that patients are suitable candidates for treatment with colchicine tablets and remain alert for signs and symptoms of toxicities related to increased colchicine exposure as a result of a drug interaction. Signs and symptoms of colchicine tablets toxicity should be evaluated promptly and, if toxicity is suspected, colchicine tablets should be discontinued immediately. Table 4 provides recommendations as a result of other potentially significant drug interactions. Table 1 provides recommendations for strong and moderate CYP3A4 inhibitors and P-gp inhibitors. Table 4. Other Pot",FDA_openFDA
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,"Warnings, Other Antidiabetic, Hydroxychloroquine, Rifampicin Lack, Ampicillin In, Seizure Threshold, Avoid, Digoxin Concomitant, Praziquantel Chloroquine, There, Cimetidine Concomitant, Drugs, Insulin, Other Arrhythmogenic, Interval, Precautions, Methotrexate Concomitant, Lower, Antiepileptics The, Monitor","7 DRUG INTERACTIONS Drugs Prolonging QT Interval and Other Arrhythmogenic Drugs. ( 7.1 ) See FPI for more important drug interactions. ( 7 ) 7.1 Drugs Prolonging QT Interval and Other Arrhythmogenic Drugs Hydroxychloroquine sulfate tablets prolongs the QT interval. There may be an increased risk of inducing ventricular arrhythmias if hydroxychloroquine sulfate tablets are used concomitantly with other arrhythmogenic drugs. Therefore, hydroxychloroquine sulfate tablets are not recommended in patients taking other drugs that have the potential to prolong the QT interval or are arrhythmogenic [see Warnings and Precautions (5.1) ]. 7.2 Insulin or Other Antidiabetic Drugs Hydroxychloroquine sulfate tablets may enhance the effects of insulin and antidiabetic drugs, and consequently increase the hypoglycemic risk. Therefore, a decrease in dosage of insulin and other antidiabetic drugs may be necessary [see Warnings and Precautions (5.10) ]. 7.3 Drugs that Lower the Seizure Threshold Hydroxych",FDA_openFDA
METHOTREXATE,METHOTREXATE,METHOTREXATE,"Warnings, Coadministration, Probenecid Nitrous, Avoid, Hepatotoxic, Consider, Oral, Effects, Proton, Other Drugs, Exposure Coadministration, Precautions, Methotrexate, Antifolate, Oxide Coadministration, Folic Acid, Highly, Increased, Increase Methotrexate, Weak","7 DRUG INTERACTIONS Refer to the full prescribing information for drug interactions with methotrexate. (7) 7.1 Effects of Other Drugs on Methotrexate Drugs that Increase Methotrexate Exposure Coadministration of methotrexate with the following products may increase methotrexate plasma concentrations, which may increase the risk of methotrexate severe adverse reactions. In some cases, the coadministration of methotrexate with these products may also subsequently reduce active metabolite formation, which may decrease the clinical effectiveness of methotrexate. Increased organ specific adverse reactions may also occur when methotrexate is coadministered with hepatotoxic or nephrotoxic products. If coadministration cannot be avoided, monitor closely for methotrexate adverse reactions when coadministered with: Oral antibiotics (including neomycin) Antifolate drugs (e.g., dapsone, pemetrexed, pyrimethamine and sulfonamides) Oral or intravenous penicillin or sulfonamide antibiotics Aspirin an",FDA_openFDA
